All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                              assembly
# misassemblies                       9       
  # contig misassemblies              9       
    # c. relocations                  5       
    # c. translocations               0       
    # c. inversions                   0       
    # c. interspecies translocations  4       
  # scaffold misassemblies            0       
    # s. relocations                  0       
    # s. translocations               0       
    # s. inversions                   0       
    # s. interspecies translocations  0       
# misassembled contigs                5       
Misassembled contigs length           13496122
# possibly misassembled contigs       7       
    # possible misassemblies          8       
# local misassemblies                 9       
# scaffold gap ext. mis.              0       
# scaffold gap loc. mis.              0       
# unaligned mis. contigs              1       
# mismatches                          5136    
# indels                              14491   
    # indels (<= 5 bp)                14451   
    # indels (> 5 bp)                 40      
Indels length                         16348   
