Assembly	assembly
# misassemblies	1
  # contig misassemblies	1
    # c. relocations	1
    # c. translocations	0
    # c. inversions	0
  # scaffold misassemblies	0
    # s. relocations	0
    # s. translocations	0
    # s. inversions	0
# misassembled contigs	1
Misassembled contigs length	2848149
# possibly misassembled contigs	1
    # possible misassemblies	1
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# mismatches	394
# indels	1553
    # indels (<= 5 bp)	1550
    # indels (> 5 bp)	3
Indels length	1756
