Assembly	assembly
# misassemblies	2
  # contig misassemblies	2
    # c. relocations	2
    # c. translocations	0
    # c. inversions	0
  # scaffold misassemblies	0
    # s. relocations	0
    # s. translocations	0
    # s. inversions	0
# misassembled contigs	2
Misassembled contigs length	1905010
# possibly misassembled contigs	3
    # possible misassemblies	3
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# mismatches	345
# indels	1467
    # indels (<= 5 bp)	1463
    # indels (> 5 bp)	4
Indels length	1580
