Assembly	assembly
# misassemblies	0
  # contig misassemblies	0
    # c. relocations	0
    # c. translocations	0
    # c. inversions	0
  # scaffold misassemblies	0
    # s. relocations	0
    # s. translocations	0
    # s. inversions	0
# misassembled contigs	0
Misassembled contigs length	0
# possibly misassembled contigs	2
    # possible misassemblies	3
# local misassemblies	2
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# mismatches	81
# indels	911
    # indels (<= 5 bp)	910
    # indels (> 5 bp)	1
Indels length	1029
